customer_id,start_date
690,2022-09-13
691,2023-02-03
693,2022-11-09
697,2022-07-12
700,2022-04-19
704,2022-11-15
714,2023-03-17
715,2022-07-28
716,2022-10-06
721,2022-07-19
726,2022-12-06
729,2022-08-05
730,2023-01-24
732,2023-01-05
736,2022-07-25
740,2022-05-03
743,2022-12-15
745,2022-07-20
750,2022-07-17
753,2023-02-06
754,2022-04-20
757,2023-02-28
759,2022-11-21
760,2023-01-14
765,2023-03-07
770,2022-05-04
775,2022-08-04
777,2022-05-11
779,2022-09-13
783,2022-06-18
784,2022-08-03
797,2022-09-08
799,2022-12-27
805,2022-09-28
808,2023-01-13
810,2022-09-05
812,2022-10-14
813,2022-05-28
818,2022-06-06
819,2022-11-21
826,2022-09-02
832,2022-06-26
833,2023-03-11
835,2022-11-29
842,2022-08-03
848,2023-04-09
851,2023-01-27
857,2022-09-05
858,2022-08-21
863,2022-07-05
865,2023-03-08
867,2022-11-05
869,2022-12-28
874,2022-11-16
876,2022-05-21
879,2023-02-04
881,2023-01-11
892,2022-09-25
894,2022-09-11
895,2022-10-15
898,2022-04-18
899,2022-07-24
902,2022-07-07
903,2022-12-20
904,2023-03-20
911,2022-07-07
916,2022-07-11
919,2023-03-09
922,2023-02-19
930,2023-04-10
944,2022-04-13
947,2022-06-25
960,2023-04-05
963,2023-01-28
967,2022-11-08
968,2022-08-07
969,2022-08-29
975,2022-06-08
976,2022-06-28
978,2022-08-02
981,2023-03-06
983,2022-09-28
990,2022-06-26
991,2022-10-05
993,2023-04-08
995,2023-03-27
998,2022-09-03
1003,2023-03-01
1006,2022-08-31
1008,2022-12-23
1012,2023-03-16
1013,2023-04-01
1014,2022-06-23
1015,2023-02-26
1018,2023-02-03
1024,2023-02-18
1029,2022-10-11
1030,2022-05-02
1031,2022-05-28
1040,2023-02-16
1042,2022-07-15
1046,2023-03-07
1050,2023-01-29
1052,2023-01-07
1059,2023-04-01
1070,2022-06-21
1071,2022-06-04
1086,2022-08-24
1088,2023-03-24
1090,2022-12-07
1101,2023-03-11
1102,2022-07-16
1107,2023-01-27
1108,2022-08-07
1110,2022-09-06
1111,2022-05-02
1117,2022-11-13
1119,2022-04-28
1125,2022-07-10
1126,2022-10-23
1129,2022-06-04
1138,2022-12-22
1143,2022-08-25
1149,2022-09-09
1152,2022-09-18
1157,2023-03-08
1159,2022-09-24
1160,2022-07-12
1163,2022-05-24
1166,2022-12-25
1168,2022-05-26
1173,2022-04-28
1181,2023-02-04
1183,2023-02-13
1186,2023-02-16
1187,2022-04-15
1209,2022-07-26
1213,2022-12-28
1214,2022-06-07
1215,2023-02-16
1217,2022-08-19
1219,2023-03-03
1220,2022-07-02
1226,2022-08-12
1232,2022-07-30
1236,2023-02-25
1238,2023-03-17
1240,2022-11-13
1241,2022-09-04
1247,2022-07-24
1250,2022-07-14
1253,2022-08-11
1259,2022-11-18
1274,2022-09-29
1285,2023-04-02
1293,2022-10-21
1294,2022-10-15
1295,2023-01-14
1300,2023-02-03
1301,2022-04-22
1304,2022-07-18
1308,2022-07-01
1310,2022-10-13
1313,2022-10-31
1316,2022-09-28
1323,2022-04-29
1327,2022-07-07
1328,2023-02-11
1329,2022-08-21
1333,2022-09-26
1336,2022-12-29
1342,2022-07-25
1344,2022-10-01
1345,2023-04-03
1352,2022-12-01
1353,2023-02-15
1354,2022-05-30
1372,2022-05-01
1378,2022-04-12
1380,2022-10-04
1381,2022-08-23
1382,2023-02-15
1383,2022-10-21
1384,2023-01-21
1388,2023-01-03
1393,2022-06-28
1394,2022-05-29
1400,2022-11-22
1402,2022-09-01
1403,2023-04-01
1404,2022-11-28
1409,2023-02-23
1411,2023-01-18
1419,2023-01-03
1423,2022-04-21
1424,2022-06-26
1430,2022-11-11
1435,2023-03-18
1436,2022-06-08
1442,2023-01-25
1451,2023-03-19
1454,2022-10-27
1460,2022-08-20
1468,2022-08-14
1469,2022-08-04
1472,2023-02-23
1473,2022-11-22
1478,2022-04-18
1482,2023-02-04
1489,2022-12-25
1490,2022-11-14
1493,2022-08-12
1496,2022-09-10
